Video ID,Emotion_Percentages
BDA6rPA0Fcs,"{'positive': 25.571148825065276, 'joy': 17.99934725848564, 'anticipation': 11.341383812010445, 'trust': 11.129242819843341, 'negative': 8.763054830287206, 'surprise': 6.609007832898173, 'sadness': 5.27088772845953, 'disgust': 4.765013054830288, 'anger': 4.503916449086162, 'fear': 4.046997389033943}"
D-qQneOnJl0,"{'positive': 23.52767153392642, 'joy': 17.355197261373963, 'trust': 12.197028928850665, 'anticipation': 12.032204213595927, 'negative': 8.670202649874268, 'surprise': 6.276018003930435, 'anger': 6.049912304798935, 'disgust': 4.767237918137058, 'sadness': 4.625657714007988, 'fear': 4.498869471504342}"
D_gkHpZ2oRI,"{'positive': 28.914473684210527, 'joy': 21.217105263157894, 'trust': 12.664473684210526, 'anticipation': 9.473684210526317, 'negative': 6.151315789473684, 'surprise': 5.0, 'disgust': 4.440789473684211, 'sadness': 4.276315789473684, 'anger': 4.046052631578948, 'fear': 3.8157894736842106}"
EB_Z-8kBNm8,"{'positive': 31.128155960370723, 'joy': 21.82806008309364, 'trust': 11.409395973154362, 'anticipation': 10.06711409395973, 'negative': 6.2320230105465, 'sadness': 5.592841163310962, 'surprise': 5.465004793863854, 'disgust': 3.004154682007031, 'fear': 2.652604666027485, 'anger': 2.620645573665708}"
EobMnSpjfTU,"{'positive': 27.879246711460205, 'joy': 20.582946910192106, 'trust': 11.715718747042681, 'anticipation': 10.400302829563737, 'negative': 7.608592788871013, 'surprise': 5.152834295448093, 'sadness': 4.745907069177629, 'disgust': 4.353174978707297, 'anger': 3.8090281063688844, 'fear': 3.7522475631683547}"
ExTP2rYqguE,"{'positive': 30.183727034120732, 'joy': 22.120151647710703, 'trust': 12.015164771070284, 'anticipation': 9.638378536016331, 'negative': 6.63458734324876, 'surprise': 5.322251385243511, 'sadness': 4.7389909594634005, 'anger': 3.4120734908136483, 'fear': 2.989209682123068, 'disgust': 2.9454651501895595}"
FIDsKWis3jo,"{'positive': 28.360868758121406, 'joy': 20.96528680155931, 'trust': 11.639131241878596, 'anticipation': 10.109522925561537, 'negative': 7.781696677185818, 'surprise': 5.060330425097457, 'sadness': 4.68164098756265, 'fear': 3.909411546315203, 'anger': 3.812882866159272, 'disgust': 3.6792277705587524}"
GiYK_6FxNts,"{'positive': 23.092445453398916, 'joy': 14.314541556312271, 'negative': 12.750662126371548, 'trust': 12.296632614453273, 'anticipation': 10.20305208727456, 'sadness': 6.31857737419599, 'anger': 6.066338756463614, 'surprise': 5.536637659225628, 'fear': 4.716862151595409, 'disgust': 4.70425022070879}"
HphRKCxIK_Q,"{'positive': 29.17886304113388, 'joy': 21.275612386381145, 'trust': 12.26313356955785, 'anticipation': 9.474657217686026, 'negative': 7.872438761361885, 'surprise': 5.31505160992143, 'sadness': 4.560160221845633, 'disgust': 3.435526113079649, 'anger': 3.4201201663842244, 'fear': 3.204436912648282}"
IxlzRwNX63A,"{'positive': 32.34916559691913, 'joy': 24.11745827984596, 'anticipation': 10.654685494223363, 'trust': 9.403080872913993, 'sadness': 6.258023106546855, 'surprise': 6.241976893453145, 'negative': 4.910141206675225, 'fear': 2.1822849807445444, 'disgust': 2.069961489088575, 'anger': 1.8132220795892169}"
JKUWL85Betk,"{'positive': 27.723311546840957, 'joy': 19.28104575163399, 'trust': 12.091503267973856, 'anticipation': 10.239651416122005, 'negative': 10.021786492374728, 'sadness': 6.209150326797386, 'surprise': 3.9760348583877994, 'fear': 3.7037037037037033, 'disgust': 3.431372549019608, 'anger': 3.32244008714597}"
