Video ID,Topics
VabOWgtG2D4,"couple, enjoy, art, children, kitchen, kids, family"
VxvfhuxOE1I,"around, barn, chapel, creepy, ebay, property, church, horses, interesting"
VyEf4EBXe8o,"tesla, led, fish, juul, mango, old, baseball, shoes, picture, million, bowl, sucker, child, tie, lmao, pod, dad, kids, snoop, grandma, views, year, wait"
VylU-ueLA_g,"minimalist, uncle, roger, art, bro, guy, come, kitchen, soulless, nothing, austin, youtube, papa"
X89WJTXA8KQ,"energy, bedroom, color, sweet, colors, full"
XNrTIQjHuKs,"sounds, couple, gomez, jessie, lip, ohio, cyrus, hey, bite, hair, coolest, bust, miley, columbus, dwayne, corn"
XxPPdlo72ho,"dolls, collector, collection, creepy, chandelier, wall, doll, bathroom, celebrity, cozy, ship, hate"
YQC7OtyHhxU,"gay, vision, husband, heart, mug, close, candle, man, human, sweet, note, closet, lot, blah, basement"
_Jqi9k3tXoQ,"piano, expensive, song, dimmer, world, york, keep, bangs, city, bidet, bathroom, name, plants, new, loft"
_Zr3ObadDnI,"uncle, letter, billy, couple, trump, scott, man, family, full, big, wife"
aB7JCNRI3rY,"wallpaper, glass, cabinets, wall, paper, kitchen, windows, idea, makes, beautifully"
aTSgJgRnqG0,"idol, gay, goddess, knew, durga, cam, expecting, mitch, idea, times, coming, mitchell, warm, sound"
eOfOrQJWeP0,"katt, kev, logo, office, oprah, guy, chairs, cursed, rest, couch, bad, bar, throw, big"
eyUs2JgrV9E,"part, peace, piano, million, woman, couple, playing, art, music, played, listing, listen, play, man, iron, museum, virgo, dollar"
fsYZye1Ykao,"grey, beach, anatomy, tequila, marble, small, children, black, kitchen, meredith, greys"
gKUyX7cjum4,"wallpaper, knew, couple, stp, academy, future, chairs, bedroom, decor, jai, mas, umbrella"
gO_gm74yiUY,"chair, inspired, wearing, catriona, earrings, turtles, humble, speak, miss, gay, energy, reminds, piece, waiting, freebritney, said, bret, plants, filipino, ear, universe, deserves"
hJaXjItxL6w,"million, illuminati, worth, skate, must, guy, neck, man, mom, first, send, plants, usa, skateboarding, wait, make"
haK2TnmVoT0,"smell, kitchen, spa, bedrooms, vagina, candles, maybe, cold"
iY1UnR7z7P0,"cancer, bought, comments, keep, pays, art, guy, pay, doping, cheating, built, cheat, man, shame, dope"
jOzaz27K48E,"eazy, halsey, zimbabwe, pants, bay, green, rugs, gerald, high, guy, essential, man, kitchen, crib, dope, cozy"
jY3P-f6q-ZI,"wallpaper, husband, color, makes, pink, dining"
jwfI8BlFwMw,"hope, marriage, toys, family, couple, driving, backwards, big, notice, car, architectural, age, window, squidward, yet, digest, wes, wine, bottle, wife"
kavjzsRtuuA,"couch, fun, kind, guy"
l2mtebeR3rA,"around, pinterest, kid, husband, shower, fence, wall, mom, pool, age, kids, family, santa, mexican, white"
n50DZvVAulM,"painting, couple, curious, art, dining, rent, paintings, bedroom, completely, homey, saving, waiting, kids, sofas, pieces, blur, cozy"
ou3h0twV9TY,"painting, laughed, behind, hard, mask, story, lamp, ghost, guy, tell, face, phone, etsy, door, queenie"
pJ8hLOkhl7M,"instagrammable, awkward, pink, library, gay, couple, welcome, old, hotel, miami, sales, ken, man, age, vampire, moment, looking, wes, anderson"
qNthtD7KmiA,"regretsy, woman, relatable, limes, art, open, bad, carrying, fun, reference, brick, dog, door"
qmHAvgEBnsk,"dante, lotus, dad, white, guy, interior, cluttered, american, man, eggs, wife"
rHyIOIstYRA,"cat, animals, woman, interesting, bedroom, dita, kitchen, dust, mean, dead, stuffed, white"
sQTGkLW6fwg,"set, season, cheryl, fake, netflix, blossom"
uXYyyhUcFg4,"drinking, dogs, temple, water, guy, enzo, man, far, sneakers, pool, natural, hair, dog, japanese, humble"
uZDNGVmHxn4,"rules, vestibule, interior, man, kitchen, dude, family, dope, new, wife"
ua0-5FZ2Eww,"kind, guy, kitchen, makes, youtube, new, jesus, make"
v293iGJ2PVY,"jake, couple, sweet, tree, kids, family, feels, fake"
vDD1lhHkGxk,"award, parker, york, buddhist, family, nyc, statue, couple, gay, mitch, husband, cam, buddha, closets, man, new, tony, shot, closet"
vGqYP1sKJ2Y,"houseplant, rogen, work, guy, smoke, laughs, man, dude, products, kim, lighter"
vvrjhuJrFVc,"london, garden, next, incredible, old, rackham, arthur, kept, history, favourite"
vx09_4cEzlM,"tunnel, tiger, coolest, crazy, fun, vagina, even, ball, unique"
w4HmK4JCN2U,"cottage, gabby, perfect, holiday, magical, cozy"
xT8n0uBIURk,"congrats, fak, restaurant, looking, bathroom, bear, food, wait"
xqv0yo_Elj4,"bla, accent, light, furniture, master, bedroom, sustainable, bella, vintage, dog, walls"
yKn3Ur6_w3c,"ice, whole, literally, let, books, rip, smoke, chuy, everywhere, sauna, feet, cleaning, bravo, chuys"
yjhibJ-OqxE,"whole, sign, hear, art, sisters, used, glad, girl, poor, family, said, kardashian, cozy"
zEXXe9Ef_R8,"lilly, swan, couple, bedroom, refugees, man, charming, bathroom, entire, carpet, floor, closet, bed, bedwomb"
zPUSDU0hrwE,"cottage, low, woman, chastain, color, colors, charming, fan, new, cozy"
za-ogD7nLi8,"sunglasses, husband, art, black, bowls, bowl, philippines, makes, gift, balls, make"
zgacuXdzCmw,"respect, black, dude, inside, genius, white, congrats, incredible, guy, mansion, trump, hollywood, inspiring, studio, built, sold, man, sided, bar, congratulations, wait"
