Video ID,Emotion_Percentages
ExTP2rYqguE,"{'positive': 32.088048364594634, 'joy': 23.515733994729498, 'trust': 12.77321345527825, 'anticipation': 10.246473414974421, 'negative': 7.05317005115486, 'surprise': 5.658037513563788, 'sadness': 5.037978607967757, 'anger': 3.627344597736785}"
FIDsKWis3jo,"{'positive': 30.657783842356622, 'joy': 22.663241963318217, 'trust': 12.581771481317974, 'anticipation': 10.928281895894369, 'negative': 8.411927599630774, 'surprise': 5.470160934301882, 'sadness': 5.060801862182446, 'fear': 4.226030420997713}"
GiYK_6FxNts,"{'positive': 25.49429128376497, 'joy': 15.80339738234475, 'negative': 14.076858813700918, 'trust': 13.575605680868838, 'anticipation': 11.26427179058758, 'sadness': 6.975772765246449, 'anger': 6.69729880256196, 'surprise': 6.112503480924533}"
HphRKCxIK_Q,"{'positive': 31.248968817026896, 'joy': 22.785018973766704, 'trust': 13.133146345487543, 'anticipation': 10.146840455370402, 'negative': 8.430951988120771, 'surprise': 5.692130011549249, 'sadness': 4.8836825606335585, 'disgust': 3.6792608480448767}"
IxlzRwNX63A,"{'positive': 33.65609348914858, 'joy': 25.091819699499162, 'anticipation': 11.085141903171953, 'trust': 9.78297161936561, 'sadness': 6.51085141903172, 'surprise': 6.49415692821369, 'negative': 5.108514190317195, 'fear': 2.2704507512520866}"
JKUWL85Betk,"{'positive': 29.73130841121495, 'joy': 20.677570093457945, 'trust': 12.967289719626168, 'anticipation': 10.981308411214954, 'negative': 10.74766355140187, 'sadness': 6.658878504672897, 'surprise': 4.2640186915887845, 'fear': 3.9719626168224296}"
Jzqu48uup54,"{'positive': 30.12105014934759, 'trust': 19.25797830529791, 'joy': 12.843892469737463, 'anticipation': 11.429020594246188, 'negative': 10.045590315988052, 'sadness': 6.036786668762773, 'anger': 5.3293507310171355, 'fear': 4.936330765602893}"
KHfP3InQc94,"{'positive': 30.10392765555406, 'joy': 20.11607504386557, 'trust': 14.126062896477256, 'anticipation': 11.872047509785396, 'negative': 8.424888648940478, 'surprise': 5.9171278175192334, 'sadness': 5.110001349709813, 'fear': 4.3298690781481985}"
KIqQ0gowzt4,"{'positive': 32.90592522607639, 'joy': 24.75367795923876, 'trust': 11.791964727583569, 'anticipation': 10.02384487335223, 'negative': 7.090475547757233, 'surprise': 5.592297656003959, 'sadness': 4.035632339047105, 'fear': 3.8061816709407474}"
KuYsILv6Fd0,"{'positive': 31.23868163708801, 'joy': 23.252444766388987, 'trust': 12.260050706265845, 'anticipation': 10.521550162984425, 'negative': 8.149221296631655, 'surprise': 5.088735965229989, 'sadness': 5.070626584570808, 'fear': 4.418688880840276}"
KyI8i1-cN8s,"{'positive': 29.214077798359355, 'joy': 18.08238511069948, 'trust': 14.192467142983153, 'anticipation': 12.207815118638088, 'negative': 10.302549175266826, 'sadness': 5.786363235423833, 'surprise': 5.301226073917261, 'anger': 4.913116344712005}"
Li8ubUzLB90,"{'positive': 33.00813008130081, 'joy': 24.552845528455283, 'trust': 10.894308943089431, 'anticipation': 10.24390243902439, 'negative': 6.504065040650407, 'surprise': 6.341463414634147, 'sadness': 4.390243902439024, 'fear': 4.0650406504065035}"
LpVraZRIjrY,"{'positive': 30.774376986118078, 'joy': 21.391537046328818, 'anticipation': 11.925071082120756, 'trust': 10.837932764676367, 'negative': 8.094999163739756, 'surprise': 7.208563304900485, 'sadness': 5.385515972570664, 'disgust': 4.3820036795450745}"
NXrwxbxeqCE,"{'positive': 30.997715156131, 'joy': 23.813150545823813, 'trust': 11.83041381061183, 'anticipation': 10.078700177710079, 'negative': 8.91089108910891, 'surprise': 5.6105610561056105, 'sadness': 5.331302361005331, 'anger': 3.427265803503427}"
P-7mzzWtnVQ,"{'positive': 30.060784674894087, 'joy': 23.669184011788545, 'trust': 12.654264137041812, 'anticipation': 11.80696260821514, 'surprise': 6.66789463989685, 'negative': 6.152145883219746, 'anger': 4.899613188432492, 'disgust': 4.089150856511329}"
PKAM4M9OET8,"{'positive': 34.66353677621284, 'joy': 25.665101721439747, 'trust': 12.754303599374023, 'anticipation': 7.902973395931142, 'negative': 6.964006259780908, 'surprise': 4.851330203442879, 'sadness': 3.912363067292645, 'disgust': 3.286384976525822}"
PWnDS45iDj4,"{'positive': 30.129487314454153, 'joy': 18.970417938730392, 'trust': 13.454047794504683, 'anticipation': 12.064427834508894, 'negative': 9.19044109906306, 'surprise': 6.2953995157385, 'fear': 5.042636066954416, 'sadness': 4.853142436045899}"
PqpCeiYycVM,"{'positive': 28.590569440865753, 'joy': 21.02035557845916, 'anticipation': 11.208451430043803, 'trust': 11.131151765009019, 'negative': 9.116207163102292, 'surprise': 6.977583097139912, 'anger': 6.0242205617109, 'sadness': 5.931460963669157}"
Pt_5Faa_J-U,"{'positive': 28.628373521531724, 'joy': 20.401228517284192, 'trust': 12.18715284584722, 'anticipation': 11.880023524799059, 'negative': 9.664771613409135, 'surprise': 6.698033065412011, 'sadness': 5.587139776514409, 'fear': 4.9532771352022475}"
QMCR45FyfzU,"{'positive': 30.937464403690623, 'joy': 20.047841439799523, 'trust': 13.338649048866614, 'anticipation': 12.062877320879371, 'negative': 8.429206059915707, 'surprise': 5.7523635949424765, 'sadness': 5.194213463948058, 'fear': 4.237384667957627}"
Qc0iJpQcdis,"{'positive': 31.824512534818943, 'joy': 23.53760445682451, 'trust': 12.465181058495823, 'anticipation': 8.774373259052924, 'negative': 8.565459610027855, 'anger': 5.083565459610028, 'sadness': 4.944289693593315, 'surprise': 4.805013927576602}"
QvoPw_5Sz8U,"{'positive': 33.225545675020214, 'joy': 22.797089733225544, 'trust': 12.934518997574779, 'anticipation': 10.347615198059822, 'negative': 7.275666936135812, 'surprise': 5.578011317704123, 'sadness': 4.284559417946645, 'anger': 3.5569927243330643}"
RDn0K9UzCpc,"{'positive': 31.64585191793042, 'joy': 24.442462087421944, 'trust': 10.838537020517396, 'anticipation': 10.147190008920607, 'negative': 8.664139161462979, 'sadness': 5.285459411239964, 'surprise': 5.1962533452274755, 'fear': 3.7801070472792153}"
RF-Mqs2qC-M,"{'positive': 22.26226748390615, 'negative': 15.22602520480385, 'trust': 14.687785273091562, 'joy': 13.215331539200228, 'anticipation': 11.754733310412691, 'anger': 8.170814117535476, 'sadness': 7.600564322042941, 'disgust': 7.082478749007101}"
RNjlfo_8u4s,"{'positive': 27.408210269611168, 'joy': 18.168269882129792, 'anticipation': 13.737975884026554, 'trust': 11.895407126405635, 'negative': 10.527028857878335, 'surprise': 6.733504945129385, 'sadness': 6.448990651673216, 'fear': 5.080612383145915}"
RjVfU9WcPxE,"{'positive': 28.58448247217146, 'joy': 20.609735836517697, 'trust': 13.357700614720052, 'anticipation': 12.061804286426318, 'negative': 10.117959793985712, 'surprise': 5.557401561721216, 'sadness': 5.2583485628841995, 'anger': 4.452566871573351}"
S1_L6RGDggk,"{'positive': 29.848730415991355, 'joy': 19.719070772555376, 'trust': 12.371690977849811, 'anticipation': 11.426256077795786, 'negative': 10.075634792004323, 'sadness': 6.212857914640734, 'surprise': 5.888708806050783, 'anger': 4.457050243111831}"
SVO-iq2bjTQ,"{'positive': 32.622627557308356, 'joy': 24.648755237860488, 'trust': 11.301454276559033, 'anticipation': 10.315504067044614, 'negative': 6.803056445649494, 'surprise': 5.55829430613754, 'sadness': 5.2255361104264235, 'fear': 3.52477199901405}"
