Video ID,Top_5_Emotions
LpVraZRIjrY,"[('joy', 1279), ('anticipation', 713), ('trust', 648), ('surprise', 431), ('sadness', 322), ('disgust', 262), ('anger', 257), ('fear', 251)]"
NXrwxbxeqCE,"[('joy', 938), ('trust', 466), ('anticipation', 397), ('surprise', 221), ('sadness', 210), ('anger', 135), ('disgust', 135), ('fear', 133)]"
P-7mzzWtnVQ,"[('joy', 1285), ('trust', 687), ('anticipation', 641), ('surprise', 362), ('anger', 266), ('disgust', 222), ('sadness', 203), ('fear', 157)]"
PKAM4M9OET8,"[('joy', 328), ('trust', 163), ('anticipation', 101), ('surprise', 62), ('sadness', 50), ('disgust', 42), ('anger', 29), ('fear', 28)]"
PWnDS45iDj4,"[('joy', 1802), ('trust', 1278), ('anticipation', 1146), ('surprise', 598), ('fear', 479), ('sadness', 461), ('anger', 419), ('disgust', 390)]"
PqpCeiYycVM,"[('joy', 4079), ('anticipation', 2175), ('trust', 2160), ('surprise', 1354), ('anger', 1169), ('sadness', 1151), ('fear', 1111), ('disgust', 832)]"
Pt_5Faa_J-U,"[('joy', 3122), ('trust', 1865), ('anticipation', 1818), ('surprise', 1025), ('sadness', 855), ('fear', 758), ('anger', 717), ('disgust', 581)]"
QMCR45FyfzU,"[('joy', 1760), ('trust', 1171), ('anticipation', 1059), ('surprise', 505), ('sadness', 456), ('fear', 372), ('anger', 354), ('disgust', 349)]"
Qc0iJpQcdis,"[('joy', 338), ('trust', 179), ('anticipation', 126), ('anger', 73), ('sadness', 71), ('surprise', 69), ('disgust', 54), ('fear', 40)]"
QvoPw_5Sz8U,"[('joy', 282), ('trust', 160), ('anticipation', 128), ('surprise', 69), ('sadness', 53), ('anger', 44), ('disgust', 42), ('fear', 33)]"
RDn0K9UzCpc,"[('joy', 2192), ('trust', 972), ('anticipation', 910), ('sadness', 474), ('surprise', 466), ('fear', 339), ('anger', 292), ('disgust', 280)]"
RF-Mqs2qC-M,"[('trust', 12389), ('joy', 11147), ('anticipation', 9915), ('anger', 6892), ('sadness', 6411), ('disgust', 5974), ('fear', 5815), ('surprise', 5156)]"
RNjlfo_8u4s,"[('joy', 1341), ('anticipation', 1014), ('trust', 878), ('surprise', 497), ('sadness', 476), ('fear', 375), ('disgust', 351), ('anger', 270)]"
RjVfU9WcPxE,"[('joy', 2481), ('trust', 1608), ('anticipation', 1452), ('surprise', 669), ('sadness', 633), ('anger', 536), ('fear', 522), ('disgust', 509)]"
